	       time	   Inlet_SPL_db       Origin_SPL_db     Top_Wall_SPL_db	 Bottom_Wall_SPL_db	  Outlet_SPL_db
             0.1002   -0.00191965357296    0.00307359879273     0.0163429785661    0.00023794364171   1.61626500544e-07
             0.1004   -0.00212319692924     0.0010654964844     0.0182951441316   0.000152789108989   1.64228845384e-07
             0.1006   -0.00167660228193    -0.0014683593067     0.0186163046878   3.29798001261e-07   1.66021341782e-07
             0.1008  -0.000734933651377   -0.00423044315086     0.0170437694768  -0.000162416753034   1.66860746522e-07
              0.101   0.000408656412144   -0.00701240496614      0.013582311077  -0.000272130058416   1.66543867996e-07
             0.1012    0.00140538721479   -0.00966791111855    0.00854637120134  -0.000283637941895   1.64762495004e-07
             0.1014     0.0019545376572    -0.0120370009151    0.00253694272152  -0.000188110007761   1.61133752159e-07
             0.1016    0.00189624648453      -0.01386636856   -0.00365155780312  -1.77458894465e-05   1.55276439824e-07
             0.1018    0.00126270104328    -0.0147750779757   -0.00917943999089   0.000165284389917    1.4686669284e-07
              0.102   0.000269163124412    -0.0142993886186    -0.0133318672775   0.000291866893897   1.35621314637e-07
             0.1022  -0.000754348555758    -0.0120186320737    -0.0156676567694   0.000312411591559   1.21198353523e-07
             0.1024   -0.00146978292089   -0.00772791083579    -0.0161053430789   0.000216641093155   1.03030514588e-07
             0.1026     -0.001641502712   -0.00159672531118    -0.0149199573032   3.88397895424e-05   8.01043807727e-08
             0.1028   -0.00121355861926    0.00575325102362    -0.0126483581938  -0.000153943333637   5.06942099335e-08
              0.103  -0.000327449616441     0.0132988860342   -0.00992792049571  -0.000286764027317   1.20919492367e-08
             0.1032   0.000726008447292     0.0198030309692   -0.00731450444667  -0.000305587702159  -3.95461003612e-08
             0.1034     0.0016045442017     0.0240998469365   -0.00513369908169  -0.000199057052383  -1.09024396268e-07
             0.1036    0.00202866284637     0.0254006759896   -0.00341089269861  -4.54465684103e-06  -2.01339332326e-07
             0.1038    0.00187318569523      0.023527528381   -0.00190248761341    0.00020448723994  -3.20065859372e-07
              0.104    0.00120495914541     0.0189957711772  -0.000219195053474   0.000345726054345  -4.64746146474e-07
